지역명,자치구명,지역종류,위도,경도,건물용도,거래유형,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,면적_25,면적_75,㎡당_중앙값
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,아파트,월세,233,높음,해당지역,,,,90000.0,,,260.0,94.5,84.8,121.1,
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,연립다세대,월세,475,높음,법정동,,,,5000.0,,,69.0,33.1,26.5,49.0,
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,오피스텔,월세,13,보통,해당지역,,,,2000.0,,,160.0,30.2,20.8,30.2,
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,단독다가구,전세,65,높음,법정동,,,,23700.0,15000.0,33000.0,,49.0,39.0,58.4,500.0
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,아파트,전세,252,높음,해당지역,,,,157500.0,130000.0,199500.0,,94.5,84.7,121.7,1587.727
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,연립다세대,전세,197,높음,법정동,,,,32000.0,21000.0,47000.0,,45.2,30.4,59.3,735.054
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,오피스텔,전세,56,높음,법정동,,,,25600.0,20187.5,29850.0,,23.3,22.2,32.0,1122.3
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,아파트,매매,92,높음,해당지역,365000.0,321875.0,401000.0,,,,,84.6,84.3,115.2,4052.751
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,연립다세대,매매,10,보통,해당지역,143655.0,112000.0,173432.8,,,,,61.4,59.6,69.1,2183.21
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,오피스텔,매매,26,보통,해당지역,32000.0,25125.0,36875.0,,,,,24.3,22.2,30.1,1314.425
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,단독다가구,월세,393,높음,법정동,,,,2000.0,,,70.0,35.0,27.0,49.5,
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,아파트,월세,412,높음,해당지역,,,,40000.0,,,158.0,84.4,76.8,84.9,
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,연립다세대,월세,67,높음,해당지역,,,,7000.0,,,65.0,41.1,24.8,60.4,
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,오피스텔,월세,45,높음,해당지역,,,,1000.0,,,110.0,22.4,21.5,27.4,
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,단독다가구,전세,65,높음,법정동,,,,23700.0,15000.0,33000.0,,49.0,39.0,58.4,500.0
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,아파트,전세,436,높음,해당지역,,,,83000.0,70778.8,110750.0,,84.4,76.8,93.1,976.69
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,연립다세대,전세,43,높음,해당지역,,,,31500.0,23375.0,45500.0,,59.4,36.2,71.4,700.365
대치2동,강남구,행정동,37.499498668219715,127.06461091111048,오피스텔,전세,27,보통,해당지역,,,,28000.0,20500.0,29000.0,,22.4,21.8,22.4,1262.399
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,아파트,매매,35,높음,해당지역,35000.0,29500.0,166250.0,,,,,35.8,34.2,84.9,1057.082
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,연립다세대,매매,37,높음,해당지역,65000.0,49500.0,94500.0,,,,,51.0,29.8,57.1,1406.303
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,오피스텔,매매,43,높음,해당지역,29800.0,22500.0,40500.0,,,,,35.7,32.0,44.5,834.734
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,단독다가구,월세,393,높음,법정동,,,,2000.0,,,70.0,35.0,27.0,49.5,
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,아파트,월세,123,높음,해당지역,,,,3000.0,,,105.0,35.5,33.1,65.2,
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,연립다세대,월세,407,높음,해당지역,,,,4000.0,,,70.0,32.4,26.7,46.6,
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,오피스텔,월세,60,높음,해당지역,,,,2000.0,,,84.5,32.0,18.4,34.2,
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,단독다가구,전세,65,높음,법정동,,,,23700.0,15000.0,33000.0,,49.0,39.0,58.4,500.0
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,아파트,전세,88,높음,해당지역,,,,55000.0,31500.0,88250.0,,59.9,35.4,84.9,929.316
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,연립다세대,전세,151,높음,해당지역,,,,31900.0,19000.0,46650.0,,43.4,29.1,55.4,749.239
대치4동,강남구,행정동,37.50206034617482,127.0549397927638,오피스텔,전세,28,보통,해당지역,,,,23200.0,20187.5,35000.0,,32.0,25.1,34.7,746.923
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,아파트,매매,77,높음,해당지역,235000.0,114500.0,262000.0,,,,,85.0,67.5,124.1,1836.345
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,연립다세대,매매,12,보통,법정동,56400.0,41275.0,90000.0,,,,,32.5,28.5,66.4,1340.995
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,오피스텔,매매,27,보통,법정동,52000.0,42050.0,64500.0,,,,,45.9,43.6,59.7,1088.613
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,단독다가구,월세,108,높음,법정동,,,,1500.0,,,60.5,29.3,26.0,38.5,
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,아파트,월세,234,높음,해당지역,,,,30000.0,,,120.0,84.7,33.8,85.0,
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,연립다세대,월세,86,높음,해당지역,,,,4382.5,,,61.0,25.6,15.3,35.4,
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,오피스텔,월세,27,보통,법정동,,,,20000.0,,,280.0,88.4,58.6,159.1,
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,단독다가구,전세,24,보통,법정동,,,,21500.0,14500.0,30250.0,,43.6,33.0,65.3,471.689
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,아파트,전세,209,높음,해당지역,,,,85000.0,71400.0,104000.0,,84.9,74.9,85.0,1008.539
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,연립다세대,전세,26,보통,해당지역,,,,23650.0,22000.0,32750.0,,30.3,24.2,44.1,743.505
도곡1동,강남구,행정동,37.488197492902465,127.03894979688286,오피스텔,전세,22,보통,법정동,,,,87500.0,27375.0,127687.5,,69.9,36.2,119.9,954.308
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,아파트,매매,118,높음,해당지역,342500.0,278500.0,411375.0,,,,,115.0,60.0,130.5,3399.76
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,연립다세대,매매,12,보통,법정동,56400.0,41275.0,90000.0,,,,,32.5,28.5,66.4,1340.995
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,오피스텔,매매,21,보통,해당지역,49000.0,32000.0,57000.0,,,,,45.9,41.1,47.0,1052.447
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,단독다가구,월세,108,높음,법정동,,,,1500.0,,,60.5,29.3,26.0,38.5,
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,아파트,월세,327,높음,해당지역,,,,60000.0,,,260.0,85.0,60.0,122.8,
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,연립다세대,월세,40,높음,해당지역,,,,1000.0,,,70.0,20.9,16.8,39.7,
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,오피스텔,월세,26,보통,해당지역,,,,25000.0,,,270.0,84.1,57.8,159.1,
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,단독다가구,전세,24,보통,법정동,,,,21500.0,14500.0,30250.0,,43.6,33.0,65.3,471.689
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,아파트,전세,287,높음,해당지역,,,,147000.0,102925.0,184375.0,,85.0,70.9,124.6,1531.165
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,연립다세대,전세,13,보통,해당지역,,,,36000.0,16000.0,50400.0,,39.6,18.1,81.9,782.014
도곡2동,강남구,행정동,37.49003060954952,127.05074721999544,오피스텔,전세,18,보통,해당지역,,,,45000.0,26250.0,114250.0,,49.0,35.2,87.1,941.814
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,아파트,매매,41,높음,해당지역,300000.0,215000.0,487500.0,,,,,113.0,84.8,167.7,2764.543
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,연립다세대,매매,22,보통,해당지역,190000.0,148500.0,226750.0,,,,,84.7,70.1,89.3,2381.057
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,오피스텔,매매,24,보통,해당지역,33297.0,29375.0,51875.0,,,,,26.9,25.2,29.4,1394.4
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,단독다가구,월세,72,높음,법정동,,,,1750.0,,,71.5,41.2,28.0,55.2,
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,아파트,월세,120,높음,해당지역,,,,20000.0,,,267.0,85.0,59.8,114.1,
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,연립다세대,월세,53,높음,해당지역,,,,3000.0,,,88.0,48.9,28.2,79.9,
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,오피스텔,월세,51,높음,해당지역,,,,1000.0,,,100.0,26.8,22.0,28.1,
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,단독다가구,전세,16,보통,법정동,,,,15325.0,12000.0,23250.0,,38.3,31.7,50.0,453.119
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,아파트,전세,101,높음,해당지역,,,,90000.0,80000.0,126000.0,,92.0,84.8,113.0,1019.307
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,연립다세대,전세,44,높음,해당지역,,,,35650.0,22037.5,50000.0,,56.0,40.4,83.1,592.768
삼성1동,강남구,행정동,37.515588600959006,127.05926404467228,오피스텔,전세,29,보통,해당지역,,,,23500.0,23000.0,32000.0,,26.2,18.4,27.2,1199.69
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,아파트,매매,127,높음,해당지역,250000.0,191000.0,337000.0,,,,,80.3,58.6,84.9,3771.044
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,연립다세대,매매,49,높음,해당지역,51000.0,44435.0,76620.0,,,,,32.2,26.3,47.8,1571.709
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,오피스텔,매매,23,보통,해당지역,35500.0,31500.0,63750.0,,,,,40.0,35.9,43.8,990.714
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,단독다가구,월세,72,높음,법정동,,,,1750.0,,,71.5,41.2,28.0,55.2,
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,아파트,월세,423,높음,해당지역,,,,23040.0,,,200.0,72.0,58.9,84.9,
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,연립다세대,월세,244,높음,해당지역,,,,3000.0,,,83.5,33.1,27.8,53.1,
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,오피스텔,월세,86,높음,해당지역,,,,3000.0,,,100.0,22.5,21.9,30.9,
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,단독다가구,전세,16,보통,법정동,,,,15325.0,12000.0,23250.0,,38.3,31.7,50.0,453.119
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,아파트,전세,265,높음,해당지역,,,,102900.0,70000.0,128000.0,,84.2,59.4,85.0,1337.916
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,연립다세대,전세,76,높음,해당지역,,,,30685.0,22000.0,40211.2,,45.6,28.6,57.2,694.709
삼성2동,강남구,행정동,37.51354571259271,127.0488064399708,오피스텔,전세,32,높음,해당지역,,,,28937.5,26475.0,39000.0,,38.3,21.6,40.0,1073.721
